year,province,track,batch,school_name,school_code,major_group,major_name,plan_type,min_score,min_rank,admit_count,source_url,source_name,notes
2025,广东,物理类,本科批,北京大学,10001,206,,普通类,689,99,34,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,中国人民大学,10002,206,,普通类,679,388,3,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,中国人民大学,10002,207,,普通类,672,823,39,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,清华大学,10003,204,,普通类,688,118,67,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,北京交通大学,10004,208,,普通类,620,13967,90,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,北京交通大学(中外合作办学),10004,209,,中外合作,613,18152,5,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,北京交通大学(中外合作办学),10004,210,,中外合作,611,19398,3,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,北京交通大学(中外合作办学),10004,211,,中外合作,617,15604,2,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,北京交通大学,10004,212,,普通类,637,7166,2,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,北京交通大学,10004,213,,普通类,633,8612,5,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,北京工业大学,10005,205,,普通类,603,24588,13,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,北京航空航天大学,10006,207,,普通类,668,1173,107,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,北京航空航天大学(中外合作办学),10006,210,,中外合作,646,4469,12,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,北京理工大学,10007,205,,普通类,666,1331,42,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,北京理工大学(中外合作办学),10007,206,,中外合作,632,8848,28,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
2025,广东,物理类,本科批,北京理工大学,10007,207,,普通类,670,937,14,https://eea.gd.gov.cn/ptgk/content/post_4746781.html,广东省教育考试院,广东省2025年本科普通类物理投档情况
